Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBear1DaFFT', gamma=0.9, is_continue_train=False, is_descend='False', is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='1', steps='50', tgt_wc='0', transfer_loss='plmmd_adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 1.1525, transfer_loss: 0.7633, total_Loss: 1.1525, val_loss 3.2815, val_acc: 48.4722, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.1966, transfer_loss: 0.8680, total_Loss: 0.2053, val_loss 3.4239, val_acc: 47.9167, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.1839, transfer_loss: 0.9711, total_Loss: 0.2033, val_loss 5.3869, val_acc: 62.9167, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.1141, transfer_loss: 1.0802, total_Loss: 0.1465, val_loss 2.4753, val_acc: 56.2500, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.0602, transfer_loss: 1.1897, total_Loss: 0.1078, val_loss 4.2507, val_acc: 48.3333, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.0589, transfer_loss: 1.2768, total_Loss: 0.1227, val_loss 8.9184, val_acc: 39.8611, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.0505, transfer_loss: 1.3646, total_Loss: 0.1323, val_loss 2.5525, val_acc: 69.5833, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.0313, transfer_loss: 1.4557, total_Loss: 0.1331, val_loss 1.4640, val_acc: 73.6111, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.0219, transfer_loss: 1.5137, total_Loss: 0.1427, val_loss 2.3353, val_acc: 65.9722, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.0159, transfer_loss: 1.5994, total_Loss: 0.1594, val_loss 4.4820, val_acc: 63.6111, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.0144, transfer_loss: 1.5868, total_Loss: 0.1726, val_loss 2.5136, val_acc: 67.5000, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0190, transfer_loss: 1.5923, total_Loss: 0.1935, val_loss 1.6239, val_acc: 66.3889, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0258, transfer_loss: 1.5697, total_Loss: 0.2133, val_loss 2.3351, val_acc: 72.2222, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.0298, transfer_loss: 1.5965, total_Loss: 0.2361, val_loss 2.9526, val_acc: 63.8889, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.0169, transfer_loss: 1.5669, total_Loss: 0.2349, val_loss 2.2690, val_acc: 64.0278, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.0111, transfer_loss: 1.5905, total_Loss: 0.2479, val_loss 1.9705, val_acc: 73.6111, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.0128, transfer_loss: 1.5700, total_Loss: 0.2618, val_loss 1.0718, val_acc: 79.1667, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.0145, transfer_loss: 1.6049, total_Loss: 0.2847, val_loss 0.5932, val_acc: 80.4167, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.0151, transfer_loss: 1.6229, total_Loss: 0.3041, val_loss 0.8474, val_acc: 75.4167, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.0148, transfer_loss: 1.6426, total_Loss: 0.3232, val_loss 2.8469, val_acc: 60.5556, The current lr 0.001000

Epoch: [20/500], cls_loss: 0.0165, transfer_loss: 1.6886, total_Loss: 0.3498, val_loss 1.4238, val_acc: 67.0833, The current lr 0.001000

