Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBear1D', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='2', steps='50', tgt_wc='1', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)
使用的0.3比例测试
使用的0.3比例测试

Epoch: [ 0/500], cls_loss: 0.7035, transfer_loss: 0.6904, total_Loss: 1.7392, val_loss 0.3426, val_acc: 91.6667, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.2477, transfer_loss: 0.6455, total_Loss: 1.2160, val_loss 0.4372, val_acc: 89.1667, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.1640, transfer_loss: 0.5358, total_Loss: 0.9676, val_loss 3.3996, val_acc: 47.6389, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.1365, transfer_loss: 0.4549, total_Loss: 0.8188, val_loss 0.2268, val_acc: 97.5000, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.0977, transfer_loss: 0.4403, total_Loss: 0.7581, val_loss 0.2968, val_acc: 93.6111, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.0516, transfer_loss: 0.5094, total_Loss: 0.8156, val_loss 0.9446, val_acc: 83.3333, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.1016, transfer_loss: 0.6411, total_Loss: 1.0632, val_loss 15.5017, val_acc: 42.5000, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.1627, transfer_loss: 0.6420, total_Loss: 1.1256, val_loss 0.4578, val_acc: 93.7500, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.1082, transfer_loss: 0.6638, total_Loss: 1.1040, val_loss 0.0373, val_acc: 99.1667, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.0340, transfer_loss: 0.6755, total_Loss: 1.0474, val_loss 0.0457, val_acc: 98.6111, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.0588, transfer_loss: 0.6858, total_Loss: 1.0876, val_loss 0.0295, val_acc: 99.0278, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0634, transfer_loss: 0.6760, total_Loss: 1.0775, val_loss 0.7123, val_acc: 88.8889, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0426, transfer_loss: 0.6415, total_Loss: 1.0049, val_loss 0.0111, val_acc: 99.5833, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.0631, transfer_loss: 0.6916, total_Loss: 1.1005, val_loss 0.0369, val_acc: 99.3056, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.0623, transfer_loss: 0.6874, total_Loss: 1.0934, val_loss 0.0731, val_acc: 98.4722, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.0188, transfer_loss: 0.6813, total_Loss: 1.0407, val_loss 0.0431, val_acc: 99.0278, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.0380, transfer_loss: 0.6807, total_Loss: 1.0591, val_loss 0.1381, val_acc: 97.7778, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.0236, transfer_loss: 0.6819, total_Loss: 1.0465, val_loss 0.0287, val_acc: 99.1667, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.0207, transfer_loss: 0.6779, total_Loss: 1.0375, val_loss 0.0037, val_acc: 99.7222, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.0141, transfer_loss: 0.6898, total_Loss: 1.0488, val_loss 0.0373, val_acc: 99.0278, The current lr 0.001000

Epoch: [20/500], cls_loss: 0.0151, transfer_loss: 0.6849, total_Loss: 1.0425, val_loss 0.0690, val_acc: 99.0278, The current lr 0.001000

Epoch: [21/500], cls_loss: 0.0116, transfer_loss: 0.6842, total_Loss: 1.0379, val_loss 0.1760, val_acc: 94.5833, The current lr 0.001000

Epoch: [22/500], cls_loss: 0.0229, transfer_loss: 0.6836, total_Loss: 1.0484, val_loss 0.0155, val_acc: 99.5833, The current lr 0.001000

Epoch: [23/500], cls_loss: 0.0119, transfer_loss: 0.6847, total_Loss: 1.0390, val_loss 0.0843, val_acc: 98.4722, The current lr 0.001000

Epoch: [24/500], cls_loss: 0.0145, transfer_loss: 0.6801, total_Loss: 1.0347, val_loss 0.0516, val_acc: 98.1944, The current lr 0.001000

Epoch: [25/500], cls_loss: 0.0070, transfer_loss: 0.6929, total_Loss: 1.0463, val_loss 0.0122, val_acc: 99.7222, The current lr 0.001000

Epoch: [26/500], cls_loss: 0.0109, transfer_loss: 0.6916, total_Loss: 1.0484, val_loss 0.0115, val_acc: 99.5833, The current lr 0.001000

Epoch: [27/500], cls_loss: 0.0065, transfer_loss: 0.6838, total_Loss: 1.0322, val_loss 0.0086, val_acc: 99.5833, The current lr 0.001000

Epoch: [28/500], cls_loss: 0.0139, transfer_loss: 0.6906, total_Loss: 1.0498, val_loss 0.0126, val_acc: 99.7222, The current lr 0.001000

Epoch: [29/500], cls_loss: 0.0064, transfer_loss: 0.6896, total_Loss: 1.0408, val_loss 0.0066, val_acc: 99.7222, The current lr 0.001000

Epoch: [30/500], cls_loss: 0.0080, transfer_loss: 0.6927, total_Loss: 1.0470, val_loss 0.0118, val_acc: 99.7222, The current lr 0.001000

Epoch: [31/500], cls_loss: 0.0160, transfer_loss: 0.6941, total_Loss: 1.0572, val_loss 0.0025, val_acc: 100.0000, The current lr 0.001000

Epoch: [32/500], cls_loss: 0.0221, transfer_loss: 0.6913, total_Loss: 1.0591, val_loss 0.0847, val_acc: 97.5000, The current lr 0.001000

Epoch: [33/500], cls_loss: 0.0156, transfer_loss: 0.6897, total_Loss: 1.0501, val_loss 0.0023, val_acc: 99.8611, The current lr 0.001000

Epoch: [34/500], cls_loss: 0.0079, transfer_loss: 0.6834, total_Loss: 1.0330, val_loss 0.0145, val_acc: 99.5833, The current lr 0.001000

Epoch: [35/500], cls_loss: 0.0024, transfer_loss: 0.6830, total_Loss: 1.0269, val_loss 0.0053, val_acc: 99.8611, The current lr 0.001000

Epoch: [36/500], cls_loss: 0.0140, transfer_loss: 0.6861, total_Loss: 1.0431, val_loss 0.0054, val_acc: 99.7222, The current lr 0.001000

Epoch: [37/500], cls_loss: 0.0082, transfer_loss: 0.6778, total_Loss: 1.0250, val_loss 0.0094, val_acc: 99.7222, The current lr 0.001000

Epoch: [38/500], cls_loss: 0.0094, transfer_loss: 0.6928, total_Loss: 1.0487, val_loss 0.0035, val_acc: 99.8611, The current lr 0.001000

Epoch: [39/500], cls_loss: 0.0155, transfer_loss: 0.6855, total_Loss: 1.0437, val_loss 0.0088, val_acc: 99.5833, The current lr 0.001000

Epoch: [40/500], cls_loss: 0.0097, transfer_loss: 0.6869, total_Loss: 1.0400, val_loss 0.0024, val_acc: 99.8611, The current lr 0.001000

Epoch: [41/500], cls_loss: 0.0063, transfer_loss: 0.6945, total_Loss: 1.0479, val_loss 0.0226, val_acc: 99.3056, The current lr 0.001000

