Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXGear/gear_fault_rawdata_1024000x1_simple.mat', dataset='CQDXGear1DaFFT', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='2', steps='50', tgt_wc='1', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 2.6989, transfer_loss: 0.6967, total_Loss: 3.7441, val_loss 2.0868, val_acc: 25.6000, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.5504, transfer_loss: 0.6942, total_Loss: 3.5917, val_loss 3.3591, val_acc: 22.8000, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 2.0699, transfer_loss: 0.6935, total_Loss: 3.1101, val_loss 3.0319, val_acc: 30.0000, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 1.7680, transfer_loss: 0.6930, total_Loss: 2.8074, val_loss 2.4943, val_acc: 29.2000, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.4081, transfer_loss: 0.6926, total_Loss: 2.4470, val_loss 8.4905, val_acc: 26.0000, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.2525, transfer_loss: 0.6916, total_Loss: 2.2899, val_loss 6.5676, val_acc: 30.0000, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 1.1085, transfer_loss: 0.6896, total_Loss: 2.1429, val_loss 3.0947, val_acc: 37.2000, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.8771, transfer_loss: 0.6909, total_Loss: 1.9136, val_loss 4.3407, val_acc: 34.4000, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.7914, transfer_loss: 0.6876, total_Loss: 1.8228, val_loss 5.4705, val_acc: 24.8000, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.7578, transfer_loss: 0.6878, total_Loss: 1.7895, val_loss 6.8853, val_acc: 22.4000, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.6165, transfer_loss: 0.6837, total_Loss: 1.6420, val_loss 2.9453, val_acc: 42.4000, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.5283, transfer_loss: 0.6820, total_Loss: 1.5513, val_loss 4.1692, val_acc: 29.2000, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.4326, transfer_loss: 0.6811, total_Loss: 1.4543, val_loss 3.2414, val_acc: 45.6000, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.4337, transfer_loss: 0.6720, total_Loss: 1.4418, val_loss 1.3922, val_acc: 62.8000, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.3571, transfer_loss: 0.6664, total_Loss: 1.3567, val_loss 0.6360, val_acc: 79.6000, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.3561, transfer_loss: 0.6583, total_Loss: 1.3435, val_loss 4.1996, val_acc: 45.6000, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.3181, transfer_loss: 0.6666, total_Loss: 1.3180, val_loss 1.2141, val_acc: 75.6000, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.3047, transfer_loss: 0.6547, total_Loss: 1.2868, val_loss 10.7484, val_acc: 20.8000, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.2881, transfer_loss: 0.6489, total_Loss: 1.2614, val_loss 1.8656, val_acc: 63.6000, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.2617, transfer_loss: 0.6350, total_Loss: 1.2143, val_loss 0.7669, val_acc: 77.6000, The current lr 0.001000

Epoch: [20/500], cls_loss: 0.2745, transfer_loss: 0.6353, total_Loss: 1.2274, val_loss 0.7712, val_acc: 80.0000, The current lr 0.001000

Epoch: [21/500], cls_loss: 0.2514, transfer_loss: 0.6261, total_Loss: 1.1905, val_loss 1.2161, val_acc: 72.4000, The current lr 0.001000

Epoch: [22/500], cls_loss: 0.1966, transfer_loss: 0.6251, total_Loss: 1.1342, val_loss 1.0633, val_acc: 79.6000, The current lr 0.001000

Epoch: [23/500], cls_loss: 0.1917, transfer_loss: 0.6367, total_Loss: 1.1467, val_loss 0.4342, val_acc: 86.8000, The current lr 0.001000

Epoch: [24/500], cls_loss: 0.1602, transfer_loss: 0.6231, total_Loss: 1.0949, val_loss 0.8709, val_acc: 76.4000, The current lr 0.001000

Epoch: [25/500], cls_loss: 0.2014, transfer_loss: 0.6250, total_Loss: 1.1390, val_loss 0.9138, val_acc: 78.4000, The current lr 0.001000

Epoch: [26/500], cls_loss: 0.2078, transfer_loss: 0.6344, total_Loss: 1.1594, val_loss 2.2407, val_acc: 59.2000, The current lr 0.001000

Epoch: [27/500], cls_loss: 0.1779, transfer_loss: 0.6332, total_Loss: 1.1276, val_loss 0.3856, val_acc: 90.4000, The current lr 0.001000

Epoch: [28/500], cls_loss: 0.1488, transfer_loss: 0.6371, total_Loss: 1.1044, val_loss 1.6267, val_acc: 64.4000, The current lr 0.001000

Epoch: [29/500], cls_loss: 0.1865, transfer_loss: 0.6319, total_Loss: 1.1343, val_loss 4.5127, val_acc: 42.0000, The current lr 0.001000

Epoch: [30/500], cls_loss: 0.1437, transfer_loss: 0.6190, total_Loss: 1.0722, val_loss 0.5886, val_acc: 82.4000, The current lr 0.001000

Epoch: [31/500], cls_loss: 0.1646, transfer_loss: 0.6225, total_Loss: 1.0983, val_loss 0.2427, val_acc: 92.8000, The current lr 0.001000

Epoch: [32/500], cls_loss: 0.1550, transfer_loss: 0.6106, total_Loss: 1.0709, val_loss 1.5286, val_acc: 67.6000, The current lr 0.001000

Epoch: [33/500], cls_loss: 0.1188, transfer_loss: 0.6056, total_Loss: 1.0272, val_loss 0.9926, val_acc: 77.2000, The current lr 0.001000

Epoch: [34/500], cls_loss: 0.1311, transfer_loss: 0.6355, total_Loss: 1.0843, val_loss 0.3994, val_acc: 87.2000, The current lr 0.001000

Epoch: [35/500], cls_loss: 0.1775, transfer_loss: 0.6393, total_Loss: 1.1364, val_loss 1.2946, val_acc: 72.8000, The current lr 0.001000

Epoch: [36/500], cls_loss: 0.1510, transfer_loss: 0.6375, total_Loss: 1.1072, val_loss 0.9778, val_acc: 77.2000, The current lr 0.001000

Epoch: [37/500], cls_loss: 0.0860, transfer_loss: 0.6208, total_Loss: 1.0172, val_loss 1.6119, val_acc: 71.6000, The current lr 0.001000

Epoch: [38/500], cls_loss: 0.1075, transfer_loss: 0.6294, total_Loss: 1.0516, val_loss 0.4233, val_acc: 87.6000, The current lr 0.001000

Epoch: [39/500], cls_loss: 0.1097, transfer_loss: 0.6427, total_Loss: 1.0738, val_loss 1.0962, val_acc: 75.6000, The current lr 0.001000

Epoch: [40/500], cls_loss: 0.0805, transfer_loss: 0.6434, total_Loss: 1.0456, val_loss 0.5572, val_acc: 84.0000, The current lr 0.001000

Epoch: [41/500], cls_loss: 0.0934, transfer_loss: 0.6482, total_Loss: 1.0658, val_loss 0.2752, val_acc: 91.2000, The current lr 0.001000

Epoch: [42/500], cls_loss: 0.0934, transfer_loss: 0.6492, total_Loss: 1.0672, val_loss 0.1831, val_acc: 94.4000, The current lr 0.001000

Epoch: [43/500], cls_loss: 0.0910, transfer_loss: 0.6354, total_Loss: 1.0441, val_loss 0.8415, val_acc: 80.4000, The current lr 0.001000

Epoch: [44/500], cls_loss: 0.1094, transfer_loss: 0.6589, total_Loss: 1.0977, val_loss 0.4069, val_acc: 90.0000, The current lr 0.001000

Epoch: [45/500], cls_loss: 0.0904, transfer_loss: 0.6492, total_Loss: 1.0641, val_loss 0.2991, val_acc: 92.4000, The current lr 0.001000

Epoch: [46/500], cls_loss: 0.1009, transfer_loss: 0.6544, total_Loss: 1.0824, val_loss 0.1871, val_acc: 92.8000, The current lr 0.001000

Epoch: [47/500], cls_loss: 0.0971, transfer_loss: 0.6468, total_Loss: 1.0673, val_loss 0.3187, val_acc: 90.8000, The current lr 0.001000

Epoch: [48/500], cls_loss: 0.0852, transfer_loss: 0.6417, total_Loss: 1.0477, val_loss 0.3134, val_acc: 92.4000, The current lr 0.001000

Epoch: [49/500], cls_loss: 0.0670, transfer_loss: 0.6420, total_Loss: 1.0301, val_loss 0.1260, val_acc: 95.2000, The current lr 0.001000

Epoch: [50/500], cls_loss: 0.0760, transfer_loss: 0.6539, total_Loss: 1.0568, val_loss 0.3360, val_acc: 89.6000, The current lr 0.000900

