Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/For_the_strange_Benchmark/CWRU', dataset='CWRUBear1DaFFT', gamma=0.9, is_continue_train=False, is_descend='False', is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=10, num_workers=3, seed=1, src_wc='1', steps='50', tgt_wc='2', transfer_loss='plmmd_adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 2.2402, transfer_loss: 0.7311, total_Loss: 2.2402, val_loss 1.4609, val_acc: 40.3030, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.0821, transfer_loss: 0.7902, total_Loss: 2.0900, val_loss 2.0988, val_acc: 48.1818, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 2.0798, transfer_loss: 0.8393, total_Loss: 2.0966, val_loss 1.5480, val_acc: 61.2121, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 1.8279, transfer_loss: 0.8889, total_Loss: 1.8545, val_loss 3.9639, val_acc: 50.9091, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.4989, transfer_loss: 0.9401, total_Loss: 1.5365, val_loss 1.0033, val_acc: 72.1212, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.9246, transfer_loss: 1.0009, total_Loss: 1.9747, val_loss 4.6127, val_acc: 68.1818, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 1.0429, transfer_loss: 1.0161, total_Loss: 1.1038, val_loss 0.7737, val_acc: 75.7576, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 1.1005, transfer_loss: 1.0843, total_Loss: 1.1763, val_loss 0.5309, val_acc: 83.0303, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.6793, transfer_loss: 1.1191, total_Loss: 0.7687, val_loss 0.3608, val_acc: 89.0909, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.7674, transfer_loss: 1.1580, total_Loss: 0.8713, val_loss 1.1090, val_acc: 86.9697, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.8591, transfer_loss: 1.2236, total_Loss: 0.9811, val_loss 26.0241, val_acc: 26.0606, The current lr 0.001000

Epoch: [11/500], cls_loss: 1.0676, transfer_loss: 1.2743, total_Loss: 1.2072, val_loss 1.4104, val_acc: 81.2121, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.7448, transfer_loss: 1.2767, total_Loss: 0.8973, val_loss 2.4296, val_acc: 79.0909, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.4898, transfer_loss: 1.3097, total_Loss: 0.6591, val_loss 0.2624, val_acc: 92.1212, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.4231, transfer_loss: 1.3971, total_Loss: 0.6174, val_loss 0.1575, val_acc: 96.3636, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.5979, transfer_loss: 1.4004, total_Loss: 0.8064, val_loss 0.6958, val_acc: 83.3333, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.4623, transfer_loss: 1.4248, total_Loss: 0.6884, val_loss 5.7312, val_acc: 61.5152, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.3948, transfer_loss: 1.4582, total_Loss: 0.6403, val_loss 0.1234, val_acc: 95.7576, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.3183, transfer_loss: 1.5259, total_Loss: 0.5900, val_loss 0.3817, val_acc: 92.4242, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.2350, transfer_loss: 1.5617, total_Loss: 0.5282, val_loss 0.7318, val_acc: 83.6364, The current lr 0.001000

