Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/For_the_strange_Benchmark/CWRU', dataset='CWRUBear1DaFFT', gamma=0.9, is_continue_train=False, is_descend='False', is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=10, num_workers=3, seed=1, src_wc='3', steps='50', tgt_wc='1', transfer_loss='plmmd_adv', transfer_loss_weight=1.5, weight_decay=0.001)
Epoch: [ 0/500], cls_loss: 2.3851, transfer_loss: 0.7119, total_Loss: 2.3851, val_loss 1.6075, val_acc: 40.3030, The current lr 0.001000
Epoch: [ 1/500], cls_loss: 1.7816, transfer_loss: 0.7288, total_Loss: 1.7888, val_loss 1.6740, val_acc: 45.7576, The current lr 0.001000
Epoch: [ 2/500], cls_loss: 2.1857, transfer_loss: 0.7387, total_Loss: 2.2005, val_loss 4.1583, val_acc: 50.0000, The current lr 0.001000
Epoch: [ 3/500], cls_loss: 1.7089, transfer_loss: 0.7467, total_Loss: 1.7312, val_loss 2.9949, val_acc: 62.4242, The current lr 0.001000
Epoch: [ 4/500], cls_loss: 1.3538, transfer_loss: 0.7618, total_Loss: 1.3843, val_loss 5.8921, val_acc: 51.8182, The current lr 0.001000
Epoch: [ 5/500], cls_loss: 1.1494, transfer_loss: 0.7714, total_Loss: 1.1879, val_loss 2.9087, val_acc: 69.3939, The current lr 0.001000
Epoch: [ 6/500], cls_loss: 1.2318, transfer_loss: 0.7854, total_Loss: 1.2789, val_loss 1.9532, val_acc: 73.0303, The current lr 0.001000
Epoch: [ 7/500], cls_loss: 0.6813, transfer_loss: 0.7984, total_Loss: 0.7371, val_loss 3.1216, val_acc: 75.1515, The current lr 0.001000
Epoch: [ 8/500], cls_loss: 0.5358, transfer_loss: 0.8108, total_Loss: 0.6006, val_loss 1.7642, val_acc: 72.1212, The current lr 0.001000
Epoch: [ 9/500], cls_loss: 0.4290, transfer_loss: 0.8178, total_Loss: 0.5024, val_loss 3.1338, val_acc: 71.2121, The current lr 0.001000
Epoch: [10/500], cls_loss: 0.5322, transfer_loss: 0.8271, total_Loss: 0.6146, val_loss 3.7716, val_acc: 69.0909, The current lr 0.001000
Epoch: [11/500], cls_loss: 0.6920, transfer_loss: 0.8528, total_Loss: 0.7855, val_loss 3.1697, val_acc: 54.2424, The current lr 0.001000
Epoch: [12/500], cls_loss: 0.7472, transfer_loss: 0.8602, total_Loss: 0.8499, val_loss 2.6382, val_acc: 66.0606, The current lr 0.001000
Epoch: [13/500], cls_loss: 0.3233, transfer_loss: 0.8728, total_Loss: 0.4362, val_loss 3.2052, val_acc: 71.8182, The current lr 0.001000
Epoch: [14/500], cls_loss: 0.3553, transfer_loss: 0.8934, total_Loss: 0.4795, val_loss 6.7693, val_acc: 64.5455, The current lr 0.001000
Epoch: [15/500], cls_loss: 0.4333, transfer_loss: 0.8938, total_Loss: 0.5664, val_loss 1.9951, val_acc: 84.2424, The current lr 0.001000
Epoch: [16/500], cls_loss: 0.3841, transfer_loss: 0.9180, total_Loss: 0.5297, val_loss 2.0734, val_acc: 79.0909, The current lr 0.001000
Epoch: [17/500], cls_loss: 0.3262, transfer_loss: 0.9376, total_Loss: 0.4840, val_loss 3.5628, val_acc: 69.0909, The current lr 0.001000
Epoch: [18/500], cls_loss: 0.2173, transfer_loss: 0.9382, total_Loss: 0.3844, val_loss 1.9501, val_acc: 84.2424, The current lr 0.001000
Epoch: [19/500], cls_loss: 0.2745, transfer_loss: 0.9599, total_Loss: 0.4547, val_loss 1.6655, val_acc: 80.3030, The current lr 0.001000
Epoch: [20/500], cls_loss: 0.4007, transfer_loss: 0.9747, total_Loss: 0.5931, val_loss 2.7874, val_acc: 76.3636, The current lr 0.001000
Epoch: [21/500], cls_loss: 0.2176, transfer_loss: 0.9812, total_Loss: 0.4207, val_loss 2.5168, val_acc: 81.5152, The current lr 0.001000
