Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBear1D', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='2', steps='50', tgt_wc='1', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 0.5049, transfer_loss: 0.6844, total_Loss: 1.5316, val_loss 3.7487, val_acc: 70.1852, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.1488, transfer_loss: 0.6043, total_Loss: 1.0553, val_loss 1.3151, val_acc: 82.9630, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.0292, transfer_loss: 0.4242, total_Loss: 0.6655, val_loss 1.5864, val_acc: 74.2593, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.0510, transfer_loss: 0.3616, total_Loss: 0.5934, val_loss 1.1804, val_acc: 83.9815, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.0446, transfer_loss: 0.3920, total_Loss: 0.6326, val_loss 0.8310, val_acc: 88.3333, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.0466, transfer_loss: 0.5870, total_Loss: 0.9271, val_loss 0.4281, val_acc: 91.5278, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.0078, transfer_loss: 0.6019, total_Loss: 0.9106, val_loss 0.1572, val_acc: 95.6944, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.0269, transfer_loss: 0.6240, total_Loss: 0.9630, val_loss 0.0516, val_acc: 98.7500, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.0734, transfer_loss: 0.6324, total_Loss: 1.0220, val_loss 1.0772, val_acc: 87.4074, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.0407, transfer_loss: 0.6327, total_Loss: 0.9897, val_loss 0.3159, val_acc: 93.8889, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.0498, transfer_loss: 0.6275, total_Loss: 0.9911, val_loss 0.0315, val_acc: 98.8889, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0326, transfer_loss: 0.6487, total_Loss: 1.0056, val_loss 0.0842, val_acc: 97.5000, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0237, transfer_loss: 0.6474, total_Loss: 0.9948, val_loss 0.0412, val_acc: 98.8426, The current lr 0.001000

