Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBearFFT', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='0', steps='50', tgt_wc='2', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 1.1007, transfer_loss: 0.6968, total_Loss: 2.1460, val_loss 3.3181, val_acc: 55.6481, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.4103, transfer_loss: 0.6765, total_Loss: 1.4251, val_loss 6.8380, val_acc: 55.0926, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.2340, transfer_loss: 0.6177, total_Loss: 1.1606, val_loss 2.9437, val_acc: 43.7963, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.0909, transfer_loss: 0.5222, total_Loss: 0.8742, val_loss 1.6532, val_acc: 69.6296, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.0803, transfer_loss: 0.4361, total_Loss: 0.7344, val_loss 2.8081, val_acc: 64.2593, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.1549, transfer_loss: 0.3554, total_Loss: 0.6881, val_loss 4.6572, val_acc: 53.6111, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.1998, transfer_loss: 0.2955, total_Loss: 0.6431, val_loss 2.7365, val_acc: 65.0926, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.0783, transfer_loss: 0.2812, total_Loss: 0.5001, val_loss 8.3074, val_acc: 57.5000, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.1031, transfer_loss: 0.2495, total_Loss: 0.4773, val_loss 2.9401, val_acc: 54.6296, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.0255, transfer_loss: 0.2207, total_Loss: 0.3566, val_loss 2.8492, val_acc: 58.7963, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.1229, transfer_loss: 0.2907, total_Loss: 0.5589, val_loss 3.8644, val_acc: 60.4630, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0218, transfer_loss: 0.2626, total_Loss: 0.4157, val_loss 3.0104, val_acc: 69.8148, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0701, transfer_loss: 0.3403, total_Loss: 0.5805, val_loss 4.8897, val_acc: 58.7963, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.1669, transfer_loss: 0.4116, total_Loss: 0.7843, val_loss 2.6012, val_acc: 73.0556, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.1132, transfer_loss: 0.4615, total_Loss: 0.8054, val_loss 2.8166, val_acc: 78.0556, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.1003, transfer_loss: 0.5926, total_Loss: 0.9893, val_loss 1.2950, val_acc: 82.3148, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.0537, transfer_loss: 0.5439, total_Loss: 0.8696, val_loss 0.9179, val_acc: 86.8519, The current lr 0.001000

