Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXGear/gear_fault_rawdata_1024000x1_simple.mat', dataset='CQDXGear1D', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='3', steps='50', tgt_wc='0', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 3.1804, transfer_loss: 0.6667, total_Loss: 4.1805, val_loss 2.7031, val_acc: 21.7556, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.0036, transfer_loss: 0.4706, total_Loss: 2.7095, val_loss 2.0474, val_acc: 25.3778, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 1.7643, transfer_loss: 0.3809, total_Loss: 2.3357, val_loss 3.7620, val_acc: 24.9778, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 1.4992, transfer_loss: 0.4989, total_Loss: 2.2475, val_loss 2.4349, val_acc: 19.1333, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.1971, transfer_loss: 0.3543, total_Loss: 1.7286, val_loss 2.1892, val_acc: 23.6444, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.0201, transfer_loss: 0.1938, total_Loss: 1.3108, val_loss 2.5732, val_acc: 22.4889, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.7584, transfer_loss: 0.1791, total_Loss: 1.0270, val_loss 4.5134, val_acc: 21.9333, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.6906, transfer_loss: 0.1346, total_Loss: 0.8924, val_loss 2.6580, val_acc: 25.1333, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.5628, transfer_loss: 0.1301, total_Loss: 0.7580, val_loss 2.1672, val_acc: 30.5778, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.4318, transfer_loss: 0.1176, total_Loss: 0.6082, val_loss 2.5744, val_acc: 27.9333, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.4307, transfer_loss: 0.1328, total_Loss: 0.6299, val_loss 2.9322, val_acc: 29.1111, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.3476, transfer_loss: 0.1024, total_Loss: 0.5013, val_loss 3.2873, val_acc: 28.9778, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.3406, transfer_loss: 0.1709, total_Loss: 0.5969, val_loss 3.4746, val_acc: 24.1556, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.3316, transfer_loss: 0.1915, total_Loss: 0.6188, val_loss 2.4558, val_acc: 28.5778, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.3155, transfer_loss: 0.2003, total_Loss: 0.6159, val_loss 3.6185, val_acc: 29.0444, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.2328, transfer_loss: 0.1137, total_Loss: 0.4033, val_loss 3.7717, val_acc: 27.8000, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.2709, transfer_loss: 0.1690, total_Loss: 0.5245, val_loss 3.4663, val_acc: 30.3111, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.2423, transfer_loss: 0.1641, total_Loss: 0.4884, val_loss 3.4362, val_acc: 25.5778, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.2598, transfer_loss: 0.2752, total_Loss: 0.6726, val_loss 4.4146, val_acc: 24.1333, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.2498, transfer_loss: 0.2479, total_Loss: 0.6216, val_loss 3.9422, val_acc: 28.4667, The current lr 0.001000

Epoch: [20/500], cls_loss: 0.2127, transfer_loss: 0.2120, total_Loss: 0.5308, val_loss 3.4206, val_acc: 26.6222, The current lr 0.001000

Epoch: [21/500], cls_loss: 0.2004, transfer_loss: 0.2230, total_Loss: 0.5349, val_loss 4.7851, val_acc: 24.3778, The current lr 0.001000

Epoch: [22/500], cls_loss: 0.2022, transfer_loss: 0.2859, total_Loss: 0.6312, val_loss 2.6359, val_acc: 31.7111, The current lr 0.001000

Epoch: [23/500], cls_loss: 0.2255, transfer_loss: 0.2697, total_Loss: 0.6300, val_loss 3.8889, val_acc: 26.0667, The current lr 0.001000

Epoch: [24/500], cls_loss: 0.2226, transfer_loss: 0.2565, total_Loss: 0.6073, val_loss 3.9157, val_acc: 29.9778, The current lr 0.001000

Epoch: [25/500], cls_loss: 0.1826, transfer_loss: 0.1926, total_Loss: 0.4716, val_loss 5.0340, val_acc: 25.3333, The current lr 0.001000

Epoch: [26/500], cls_loss: 0.1777, transfer_loss: 0.2632, total_Loss: 0.5725, val_loss 3.2086, val_acc: 32.7778, The current lr 0.001000

Epoch: [27/500], cls_loss: 0.1679, transfer_loss: 0.2316, total_Loss: 0.5152, val_loss 3.6496, val_acc: 29.7111, The current lr 0.001000

Epoch: [28/500], cls_loss: 0.1783, transfer_loss: 0.2514, total_Loss: 0.5554, val_loss 2.9542, val_acc: 28.7111, The current lr 0.001000

Epoch: [29/500], cls_loss: 0.1601, transfer_loss: 0.2287, total_Loss: 0.5032, val_loss 2.7117, val_acc: 33.8889, The current lr 0.001000

Epoch: [30/500], cls_loss: 0.1585, transfer_loss: 0.2094, total_Loss: 0.4725, val_loss 2.9684, val_acc: 31.2444, The current lr 0.001000

Epoch: [31/500], cls_loss: 0.1547, transfer_loss: 0.2475, total_Loss: 0.5259, val_loss 3.6065, val_acc: 32.4000, The current lr 0.001000

Epoch: [32/500], cls_loss: 0.1585, transfer_loss: 0.2602, total_Loss: 0.5488, val_loss 3.3039, val_acc: 34.8444, The current lr 0.001000

Epoch: [33/500], cls_loss: 0.1429, transfer_loss: 0.2292, total_Loss: 0.4867, val_loss 3.0063, val_acc: 28.3111, The current lr 0.001000

Epoch: [34/500], cls_loss: 0.1456, transfer_loss: 0.2044, total_Loss: 0.4522, val_loss 4.1959, val_acc: 27.4222, The current lr 0.001000

Epoch: [35/500], cls_loss: 0.1555, transfer_loss: 0.2408, total_Loss: 0.5167, val_loss 3.9606, val_acc: 28.2222, The current lr 0.001000

Epoch: [36/500], cls_loss: 0.1585, transfer_loss: 0.2833, total_Loss: 0.5835, val_loss 2.7545, val_acc: 31.1778, The current lr 0.001000

Epoch: [37/500], cls_loss: 0.1664, transfer_loss: 0.2889, total_Loss: 0.5998, val_loss 2.8391, val_acc: 36.2000, The current lr 0.001000

Epoch: [38/500], cls_loss: 0.1595, transfer_loss: 0.3053, total_Loss: 0.6175, val_loss 5.0482, val_acc: 29.0667, The current lr 0.001000

Epoch: [39/500], cls_loss: 0.1626, transfer_loss: 0.2962, total_Loss: 0.6069, val_loss 3.7055, val_acc: 28.9111, The current lr 0.001000

Epoch: [40/500], cls_loss: 0.1569, transfer_loss: 0.3095, total_Loss: 0.6211, val_loss 3.0684, val_acc: 34.3556, The current lr 0.001000

Epoch: [41/500], cls_loss: 0.1527, transfer_loss: 0.3185, total_Loss: 0.6305, val_loss 4.5669, val_acc: 29.6444, The current lr 0.001000

Epoch: [42/500], cls_loss: 0.1585, transfer_loss: 0.3171, total_Loss: 0.6342, val_loss 2.2070, val_acc: 40.3556, The current lr 0.001000

Epoch: [43/500], cls_loss: 0.1689, transfer_loss: 0.3852, total_Loss: 0.7467, val_loss 3.4406, val_acc: 32.6444, The current lr 0.001000

Epoch: [44/500], cls_loss: 0.1579, transfer_loss: 0.3743, total_Loss: 0.7193, val_loss 3.0397, val_acc: 33.2222, The current lr 0.001000

Epoch: [45/500], cls_loss: 0.1733, transfer_loss: 0.4350, total_Loss: 0.8258, val_loss 3.3917, val_acc: 33.2889, The current lr 0.001000

Epoch: [46/500], cls_loss: 0.1663, transfer_loss: 0.4285, total_Loss: 0.8091, val_loss 4.1116, val_acc: 32.1556, The current lr 0.001000

Epoch: [47/500], cls_loss: 0.1511, transfer_loss: 0.4308, total_Loss: 0.7973, val_loss 4.0441, val_acc: 33.6222, The current lr 0.001000

Epoch: [48/500], cls_loss: 0.1633, transfer_loss: 0.4054, total_Loss: 0.7714, val_loss 3.7256, val_acc: 31.2222, The current lr 0.001000

Epoch: [49/500], cls_loss: 0.1372, transfer_loss: 0.4597, total_Loss: 0.8267, val_loss 3.4749, val_acc: 32.7556, The current lr 0.001000

Epoch: [50/500], cls_loss: 0.1460, transfer_loss: 0.4705, total_Loss: 0.8518, val_loss 3.4393, val_acc: 37.5556, The current lr 0.000900

Epoch: [51/500], cls_loss: 0.1303, transfer_loss: 0.4381, total_Loss: 0.7874, val_loss 3.2342, val_acc: 36.6000, The current lr 0.000900

Epoch: [52/500], cls_loss: 0.1465, transfer_loss: 0.4647, total_Loss: 0.8436, val_loss 3.0403, val_acc: 36.6889, The current lr 0.000900

Epoch: [53/500], cls_loss: 0.1290, transfer_loss: 0.4426, total_Loss: 0.7930, val_loss 2.6677, val_acc: 37.0889, The current lr 0.000900

Epoch: [54/500], cls_loss: 0.1325, transfer_loss: 0.4683, total_Loss: 0.8350, val_loss 3.5382, val_acc: 34.4444, The current lr 0.000900

