Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXGear/gear_fault_rawdata_1024000x1_simple.mat', dataset='CQDXGearFFT', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='0', steps='50', tgt_wc='3', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 3.1446, transfer_loss: 0.6859, total_Loss: 4.1735, val_loss 2.8903, val_acc: 21.1556, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.3841, transfer_loss: 0.6042, total_Loss: 3.2904, val_loss 2.0743, val_acc: 21.4667, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 2.2688, transfer_loss: 0.4918, total_Loss: 3.0066, val_loss 2.1287, val_acc: 20.6222, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 1.9348, transfer_loss: 0.3697, total_Loss: 2.4893, val_loss 2.4817, val_acc: 20.6222, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.8038, transfer_loss: 0.3114, total_Loss: 2.2709, val_loss 2.1897, val_acc: 20.8444, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.6750, transfer_loss: 0.3210, total_Loss: 2.1565, val_loss 2.4107, val_acc: 20.0889, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 1.6581, transfer_loss: 0.5920, total_Loss: 2.5462, val_loss 2.2394, val_acc: 16.4889, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 1.6104, transfer_loss: 0.6629, total_Loss: 2.6047, val_loss 2.2761, val_acc: 20.5778, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 1.5695, transfer_loss: 0.6129, total_Loss: 2.4889, val_loss 2.1459, val_acc: 19.4222, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 1.5381, transfer_loss: 0.6112, total_Loss: 2.4549, val_loss 2.0458, val_acc: 20.3556, The current lr 0.001000

Epoch: [10/500], cls_loss: 1.4631, transfer_loss: 0.6178, total_Loss: 2.3898, val_loss 2.2607, val_acc: 20.3556, The current lr 0.001000

Epoch: [11/500], cls_loss: 1.4574, transfer_loss: 0.6319, total_Loss: 2.4053, val_loss 2.1872, val_acc: 21.6889, The current lr 0.001000

Epoch: [12/500], cls_loss: 1.4209, transfer_loss: 0.5939, total_Loss: 2.3118, val_loss 2.4537, val_acc: 18.6667, The current lr 0.001000

Epoch: [13/500], cls_loss: 1.4080, transfer_loss: 0.5721, total_Loss: 2.2661, val_loss 1.8724, val_acc: 21.3778, The current lr 0.001000

Epoch: [14/500], cls_loss: 1.3571, transfer_loss: 0.5310, total_Loss: 2.1536, val_loss 2.0758, val_acc: 21.4222, The current lr 0.001000

Epoch: [15/500], cls_loss: 1.3432, transfer_loss: 0.5898, total_Loss: 2.2279, val_loss 2.0310, val_acc: 20.7111, The current lr 0.001000

Epoch: [16/500], cls_loss: 1.3327, transfer_loss: 0.5950, total_Loss: 2.2252, val_loss 2.4923, val_acc: 21.3778, The current lr 0.001000

Epoch: [17/500], cls_loss: 1.3144, transfer_loss: 0.6168, total_Loss: 2.2396, val_loss 2.1469, val_acc: 19.6444, The current lr 0.001000

Epoch: [18/500], cls_loss: 1.3100, transfer_loss: 0.5912, total_Loss: 2.1968, val_loss 2.3659, val_acc: 20.4889, The current lr 0.001000

Epoch: [19/500], cls_loss: 1.2961, transfer_loss: 0.6184, total_Loss: 2.2238, val_loss 2.2770, val_acc: 19.9111, The current lr 0.001000

Epoch: [20/500], cls_loss: 1.2844, transfer_loss: 0.5925, total_Loss: 2.1732, val_loss 2.1281, val_acc: 22.1778, The current lr 0.001000

Epoch: [21/500], cls_loss: 1.2447, transfer_loss: 0.5902, total_Loss: 2.1300, val_loss 2.0391, val_acc: 22.6667, The current lr 0.001000

Epoch: [22/500], cls_loss: 1.1756, transfer_loss: 0.6034, total_Loss: 2.0807, val_loss 2.0920, val_acc: 24.4889, The current lr 0.001000

Epoch: [23/500], cls_loss: 1.1954, transfer_loss: 0.6569, total_Loss: 2.1808, val_loss 2.4875, val_acc: 21.6889, The current lr 0.001000

Epoch: [24/500], cls_loss: 1.2064, transfer_loss: 0.6267, total_Loss: 2.1465, val_loss 2.1118, val_acc: 21.4222, The current lr 0.001000

Epoch: [25/500], cls_loss: 1.1625, transfer_loss: 0.6059, total_Loss: 2.0714, val_loss 2.2781, val_acc: 22.1778, The current lr 0.001000

Epoch: [26/500], cls_loss: 1.1464, transfer_loss: 0.6223, total_Loss: 2.0799, val_loss 2.2761, val_acc: 23.1111, The current lr 0.001000

Epoch: [27/500], cls_loss: 1.1642, transfer_loss: 0.6442, total_Loss: 2.1306, val_loss 2.3842, val_acc: 21.2444, The current lr 0.001000

Epoch: [28/500], cls_loss: 1.1416, transfer_loss: 0.6197, total_Loss: 2.0711, val_loss 2.2053, val_acc: 21.7333, The current lr 0.001000

Epoch: [29/500], cls_loss: 1.1216, transfer_loss: 0.6161, total_Loss: 2.0457, val_loss 2.2248, val_acc: 22.1333, The current lr 0.001000

Epoch: [30/500], cls_loss: 1.0850, transfer_loss: 0.5936, total_Loss: 1.9754, val_loss 2.2609, val_acc: 21.9111, The current lr 0.001000

Epoch: [31/500], cls_loss: 1.0695, transfer_loss: 0.5889, total_Loss: 1.9529, val_loss 2.3903, val_acc: 20.5333, The current lr 0.001000

Epoch: [32/500], cls_loss: 1.0643, transfer_loss: 0.6113, total_Loss: 1.9812, val_loss 2.1914, val_acc: 22.6667, The current lr 0.001000

Epoch: [33/500], cls_loss: 1.0488, transfer_loss: 0.5908, total_Loss: 1.9350, val_loss 2.5552, val_acc: 23.1111, The current lr 0.001000

Epoch: [34/500], cls_loss: 1.0522, transfer_loss: 0.6115, total_Loss: 1.9695, val_loss 2.2411, val_acc: 22.9778, The current lr 0.001000

Epoch: [35/500], cls_loss: 1.0775, transfer_loss: 0.5885, total_Loss: 1.9603, val_loss 2.3986, val_acc: 22.1333, The current lr 0.001000

Epoch: [36/500], cls_loss: 1.0266, transfer_loss: 0.5969, total_Loss: 1.9219, val_loss 2.4133, val_acc: 21.8667, The current lr 0.001000

Epoch: [37/500], cls_loss: 1.0379, transfer_loss: 0.5852, total_Loss: 1.9157, val_loss 2.5383, val_acc: 22.2222, The current lr 0.001000

Epoch: [38/500], cls_loss: 1.0103, transfer_loss: 0.5866, total_Loss: 1.8902, val_loss 2.6024, val_acc: 23.0667, The current lr 0.001000

Epoch: [39/500], cls_loss: 0.9979, transfer_loss: 0.5812, total_Loss: 1.8698, val_loss 2.6814, val_acc: 22.5333, The current lr 0.001000

Epoch: [40/500], cls_loss: 1.0191, transfer_loss: 0.5854, total_Loss: 1.8972, val_loss 2.3772, val_acc: 22.7111, The current lr 0.001000

Epoch: [41/500], cls_loss: 1.0091, transfer_loss: 0.6127, total_Loss: 1.9282, val_loss 2.2970, val_acc: 24.6667, The current lr 0.001000

Epoch: [42/500], cls_loss: 0.9775, transfer_loss: 0.5797, total_Loss: 1.8470, val_loss 2.6579, val_acc: 21.4222, The current lr 0.001000

Epoch: [43/500], cls_loss: 0.9730, transfer_loss: 0.5918, total_Loss: 1.8608, val_loss 2.4391, val_acc: 23.9111, The current lr 0.001000

Epoch: [44/500], cls_loss: 0.9485, transfer_loss: 0.5801, total_Loss: 1.8187, val_loss 2.7722, val_acc: 21.0667, The current lr 0.001000

Epoch: [45/500], cls_loss: 0.9469, transfer_loss: 0.5889, total_Loss: 1.8303, val_loss 2.5258, val_acc: 22.4889, The current lr 0.001000

Epoch: [46/500], cls_loss: 0.9340, transfer_loss: 0.5727, total_Loss: 1.7930, val_loss 2.9459, val_acc: 22.6222, The current lr 0.001000

Epoch: [47/500], cls_loss: 0.9416, transfer_loss: 0.5815, total_Loss: 1.8138, val_loss 2.9192, val_acc: 21.3778, The current lr 0.001000

Epoch: [48/500], cls_loss: 0.9267, transfer_loss: 0.5858, total_Loss: 1.8054, val_loss 2.6580, val_acc: 24.2667, The current lr 0.001000

Epoch: [49/500], cls_loss: 0.9071, transfer_loss: 0.5409, total_Loss: 1.7184, val_loss 2.7232, val_acc: 24.0444, The current lr 0.001000

